system:index,mean_ndvi,veg_type_id,year,.geo
117,0.36232386270212114,12,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0.310413488554261,13,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0.24524980237154156,17,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0.5538609302708369,4,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,0.5786838225830839,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0.504157847347693,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0.5294970690462145,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0.48055487431861266,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0.43609654679651816,10,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,0.4719159420289855,11,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0.37026320177567684,12,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0.3197223574856446,13,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0.2594782608695652,17,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0.572790380046878,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,0.5936392550329955,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,0.5307098907329154,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,0.5596421394882524,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,0.5054673787785845,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,0.46528001703163074,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,0.5155144927536233,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,0.4057144949601434,12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,0.34621313329984693,13,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,0.2622806324110672,17,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,0.574462742328554,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,0.5969940429345013,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,0.5288328061988081,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,0.5596976776177289,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,0.5056490363742863,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,0.46354798164732913,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,0.5171594202898552,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,0.4120977245052893,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,0.36164808605275217,13,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,0.27601897233201583,17,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,0.5566125324386223,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,0.572585089237739,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,0.5185872891471477,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,0.5404123160547958,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,0.5013004125240588,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,0.469343234441702,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,0.5107159420289856,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,0.40528574064721345,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,0.3611024932302787,13,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,0.2758691699604743,17,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,0.573789175875909,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,0.5911625865108964,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,0.532644816469661,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,0.5591249353201337,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,0.5093929388748022,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,0.46952589075106577,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,0.49437826086956527,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,0.39976800626978704,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,0.35912049996839346,13,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,0.271006324110672,17,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,0.578373028457899,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,0.602296628850157,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,0.5339966257341041,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,0.5656227338343515,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,0.5154908549820297,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,0.4746007586245892,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,0.514340579710145,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,0.43127577060685846,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,0.3800685262511383,13,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,0.27547628458498025,17,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,0.5553941066219207,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,0.5819813087397322,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,0.523678698259515,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,0.552081231256035,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,0.5095104741881306,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,0.47532075171073224,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,0.5320521739130436,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,0.4329159114645901,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,0.38661927244087546,13,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,0.25915217391304346,17,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,0.5749362016403098,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,0.5909113931351132,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,0.5387822583701952,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,0.5647444996252228,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,0.5218036946314581,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,0.4880216440656032,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,0.5343507246376812,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,0.4330465139427576,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,0.3909003093057383,13,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,0.28091581027667983,17,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,0.5517840636422414,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,0.5703453857637893,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,0.5045098497620668,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,0.5329576171466756,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,0.48414588643768836,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,0.44937498018734007,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,0.5138652173913044,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,0.4075945580666302,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,0.3665651924479818,13,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,0.2600521739130435,17,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
