system:index,NDVI,month,year,.geo
71,0.23577207720588256,12.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.2296621645220589,1.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.22253880514705882,2.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.23065291360294124,3.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.33840976102941167,4.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.5824174310661769,5.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.6243093382352944,6.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.7204722977941178,7.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.7289633547794119,8.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.5844213051470589,9.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.29691955882352944,10.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.19653894761029414,11.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.21062260110294131,12.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.13796184283088228,1.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.19647046874999996,2.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.1854930790441177,3.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.2331062040441177,4.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.5829231847426471,5.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.7349890073529413,6.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.7264026424632356,7.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.6943746415441179,8.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.650699977022059,9.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.4176136213235291,10.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.2853154641544119,11.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.24050914522058806,12.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.23343574448529425,1.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.21350219209558827,2.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.22419014705882367,3.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.3285731571691176,4.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.5965924632352944,5.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.7023856020220594,6.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.7556143060661763,7.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.7353089935661759,8.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.5834149172794115,9.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.3746436580882352,10.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.27052243566176454,11.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0.24371104779411765,12.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.2289888786764705,1.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.22521063878676464,2.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0.2245922380514707,3.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0.31664391084558824,4.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0.6210233777573526,5.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.6900169439338238,6.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,0.7511489843750006,7.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,0.7492802297794126,8.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,0.6796891038602936,9.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,0.3689838189338235,10.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0.24238570772058834,11.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0.20475992647058797,12.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0.2111013556985295,1.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,0.2194292922794116,2.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0.23322794577205874,3.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0.26350585937499993,4.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0.6175599218750008,5.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0.7417768933823536,6.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,0.7758358777573527,7.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0.7449617141544119,8.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0.677560050551471,9.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0.4137112408088238,10.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0.30590466452205906,11.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,0.26679177849264707,12.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,0.2475682674632355,1.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,0.23547233915441182,2.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,0.2502102849264705,3.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,0.3403760018382353,4.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,0.524866659007353,5.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,0.6848099034926469,6.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,0.6882188878676474,7.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,0.7250103354779412,8.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,0.6252643474264705,9.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,0.38904618566176463,10.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,0.28209287683823525,11.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,0.2573392830882354,12.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,0.24742283088235284,1.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,0.23091795036764698,2.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,0.22910693474264712,3.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,0.34317457720588246,4.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,0.601945992647059,5.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,0.6571097150735297,6.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,0.717402306985295,7.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,0.7504890533088235,8.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,0.6951183639705881,9.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,0.43441681066176496,10.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,0.2722228354779411,11.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,0.25477025275735293,12.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,0.24184366727941164,1.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,0.23960182444852948,2.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,0.23425308823529417,3.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,0.4316208915441179,4.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,0.648285533088235,5.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,0.7175715027573532,6.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,0.7545135707720593,7.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,0.7688711029411766,8.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,0.6595278492647063,9.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,0.409498979779412,10.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,0.2906764338235294,11.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,0.272912398897059,12.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,0.2596403262867646,1.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,0.2530182766544116,2.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,0.26461247242647046,3.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,0.49027517463235304,4.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,0.6675637867647064,5.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,0.7231277849264701,6.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,0.774851916360295,7.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,0.7501413511029412,8.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,0.6145608961397058,9.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,0.39633823529411805,10.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,0.286053653492647,11.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,0.2623470955882352,12.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,0.2509670909926472,1.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,0.2478646553308824,2.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,0.23946638786764712,3.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,0.4202563648897059,4.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,0.6978719669117647,5.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,0.7162812408088238,6.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,0.7340423897058823,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,0.7809585569852943,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,0.6354128998161771,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,0.3987423345588235,10.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,0.3096123575367648,11.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,0.2741455468750001,12.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,0.26777339154411756,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,0.25437989889705875,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,0.27391089613970615,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,0.39158552849264716,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,0.6837304825367648,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,0.6977246783088238,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,0.7578777435661764,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,0.752300045955882,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,0.667305850183824,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,0.4870694301470589,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,0.3151262729779411,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,0.28027306066176444,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,0.27357221047794134,1.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,0.27148642003676465,2.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,0.2680514246323529,3.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,0.4376455928308826,4.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,0.6516542279411762,5.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,0.6918415625000002,6.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,0.7863988189338231,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,0.7879245266544126,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,0.686976870404412,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,0.3830158823529413,10.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,0.321232169117647,11.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,0.27270171415441163,12.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,0.2591418704044116,1.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,0.25780777113970615,2.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,0.2480425229779411,3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,0.40551593750000015,4.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,0.6317891957720592,5.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,0.730124416360294,6.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,0.7530398391544124,7.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,0.7640250781249998,8.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,0.6937743106617648,9.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,0.5550893750000003,10.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,0.3189301286764703,11.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,0.28421812959558823,12.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,0.2804527573529413,1.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,0.2596797104779412,2.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,0.2685989154411765,3.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,0.49451302389705926,4.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,0.7271631939338238,5.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,0.7632133639705883,6.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,0.7969347196691173,7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,0.786283676470588,8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,0.6220453170955886,9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,0.3489433915441178,10.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,0.30487224724264733,11.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,0.2823401838235295,12.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,0.27272826286764695,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,0.2711055882352941,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,0.2507103998161765,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,0.3412167233455884,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,0.5891943612132354,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,0.6258814430147057,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,0.7268606985294119,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,0.7721135569852937,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,0.6972891773897062,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,0.5289818566176473,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,0.33461861213235305,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,0.2234691084558824,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
